,DateTime,Device,Class
0,2023-09-02 08:00:00,FAIR-D1,1
1,2023-09-02 08:00:00,ID-1,7
2,2023-09-02 10:00:00,FAIR-D1,1
3,2023-09-02 12:00:00,FAIR-D1,3
4,2023-09-02 12:00:00,ID-1,9
5,2023-09-02 14:00:00,FAIR-D1,4
6,2023-09-02 14:00:00,ID-1,3
7,2023-09-02 16:00:00,FAIR-D1,2
8,2023-09-02 16:00:00,ID-1,2
9,2023-09-02 18:00:00,FAIR-D1,1
10,2023-09-03 08:00:00,FAIR-D1,1
11,2023-09-03 10:00:00,FAIR-D1,2
12,2023-09-03 12:00:00,ID-1,45
13,2023-09-03 14:00:00,ID-1,13
14,2023-09-03 16:00:00,FAIR-D1,1
15,2023-09-03 16:00:00,ID-1,6
16,2023-09-03 18:00:00,ID-1,2
17,2023-09-04 08:00:00,ID-1,3
18,2023-09-04 12:00:00,FAIR-D1,2
19,2023-09-04 12:00:00,ID-1,12
20,2023-09-04 14:00:00,FAIR-D1,1
21,2023-09-04 14:00:00,ID-1,1
22,2023-09-04 16:00:00,FAIR-D1,1
23,2023-09-04 18:00:00,ID-1,4
24,2023-09-05 08:00:00,ID-1,5
25,2023-09-05 12:00:00,ID-1,12
26,2023-09-05 16:00:00,ID-1,3
27,2023-09-05 18:00:00,ID-1,4
28,2023-09-06 12:00:00,ID-1,5
29,2023-09-06 14:00:00,FAIR-D1,1
30,2023-09-06 14:00:00,ID-1,1
31,2023-09-06 16:00:00,FAIR-D1,1
32,2023-09-06 18:00:00,FAIR-D1,2
33,2023-09-07 08:00:00,ID-1,1
34,2023-09-07 12:00:00,ID-1,4
35,2023-09-07 16:00:00,ID-1,1
36,2023-09-07 18:00:00,ID-1,1
37,2023-09-08 08:00:00,FAIR-D1,1
38,2023-09-08 12:00:00,ID-1,1
39,2023-09-08 14:00:00,ID-1,1
40,2023-09-09 06:00:00,ID-1,1
41,2023-09-09 08:00:00,ID-1,1
42,2023-09-09 10:00:00,FAIR-D1,2
43,2023-09-09 18:00:00,ID-1,4
44,2023-09-10 10:00:00,FAIR-D1,3
45,2023-09-10 12:00:00,ID-1,1
46,2023-09-10 16:00:00,FAIR-D1,3
47,2023-09-10 16:00:00,ID-1,4
48,2023-09-10 18:00:00,ID-1,5
49,2023-09-11 08:00:00,FAIR-D1,3
50,2023-09-11 08:00:00,ID-1,2
51,2023-09-11 10:00:00,FAIR-D1,2
52,2023-09-11 16:00:00,ID-1,1
53,2023-09-12 08:00:00,FAIR-D1,1
54,2023-09-12 12:00:00,FAIR-D1,1
55,2023-09-12 12:00:00,ID-1,1
56,2023-09-12 18:00:00,ID-1,9
57,2023-09-13 06:00:00,FAIR-D1,1
58,2023-09-13 08:00:00,ID-1,4
59,2023-09-13 12:00:00,ID-1,28
60,2023-09-13 14:00:00,ID-1,5
61,2023-09-13 16:00:00,ID-1,2
62,2023-09-13 18:00:00,ID-1,2
