ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
3387,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-09-02 08:22:26.000,2023-09-02 08:30:47.000,00:08:21,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 08:22:26.000
1016,ID,ID-1,Site 1,Maize Field,2023-09-02 09:05:37.351,2023-09-02 09:06:06.412,00:00:29.061000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:05:37.351
1017,ID,ID-1,Site 1,Maize Field,2023-09-02 09:06:22.322,2023-09-02 09:06:26.747,00:00:04.425000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:06:22.322
1018,ID,ID-1,Site 1,Maize Field,2023-09-02 09:06:31.116,2023-09-02 09:06:44.156,00:00:13.040000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:06:31.116
1019,ID,ID-1,Site 1,Maize Field,2023-09-02 09:16:40.411,2023-09-02 09:19:04.900,00:02:24.489000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:16:40.411
1020,ID,ID-1,Site 1,Maize Field,2023-09-02 09:25:59.531,2023-09-02 09:26:03.940,00:00:04.409000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:25:59.531
1021,ID,ID-1,Site 1,Maize Field,2023-09-02 09:26:06.803,2023-09-02 09:26:44.651,00:00:37.848000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:26:06.803
1022,ID,ID-1,Site 1,Maize Field,2023-09-02 09:37:44.202,2023-09-02 09:37:54.311,00:00:10.109000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 09:37:44.202
3388,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-09-02 10:53:28.000,2023-09-02 10:53:34.000,00:00:06,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 10:53:28.000
1023,ID,ID-1,Site 1,Maize Field,2023-09-02 12:17:38.183,2023-09-02 12:18:09.740,00:00:31.557000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 12:17:38.183
1024,ID,ID-1,Site 1,Maize Field,2023-09-02 12:21:21.239,2023-09-02 12:21:25.652,00:00:04.413000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 12:21:21.239
1025,ID,ID-1,Site 1,Maize Field,2023-09-02 12:22:44.216,2023-09-02 12:22:48.529,00:00:04.313000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 12:22:44.216
1026,ID,ID-1,Site 1,Maize Field,2023-09-02 12:27:45.473,2023-09-02 12:27:49.868,00:00:04.395000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 12:27:45.473
3389,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-09-02 12:59:20.000,2023-09-02 13:00:01.000,00:00:41,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 12:59:20.000
1027,ID,ID-1,Site 1,Maize Field,2023-09-02 13:02:07.383,2023-09-02 13:02:11.732,00:00:04.349000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 13:02:07.383
1028,ID,ID-1,Site 1,Maize Field,2023-09-02 13:02:13.183,2023-09-02 13:02:33.395,00:00:20.212000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 13:02:13.183
1029,ID,ID-1,Site 1,Maize Field,2023-09-02 13:02:36.191,2023-09-02 13:02:41.946,00:00:05.755000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 13:02:36.191
1030,ID,ID-1,Site 1,Maize Field,2023-09-02 13:04:27.285,2023-09-02 13:04:38.769,00:00:11.484000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 13:04:27.285
3390,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-09-02 13:07:00.000,2023-09-02 13:07:10.000,00:00:10,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 13:07:00.000
1031,ID,ID-1,Site 1,Maize Field,2023-09-02 13:24:47.553,2023-09-02 13:25:06.421,00:00:18.868000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 13:24:47.553
3391,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-09-02 13:53:34.000,2023-09-02 13:53:38.000,00:00:04,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 13:53:34.000
