,DateTime,Device,Class
0,2023-08-23 08:00:00,FAIR-D1,1
1,2023-08-23 08:00:00,ID-1,5
2,2023-08-23 10:00:00,FAIR-D1,1
3,2023-08-23 12:00:00,FAIR-D1,1
4,2023-08-23 12:00:00,ID-1,2
5,2023-08-23 14:00:00,FAIR-D1,4
6,2023-08-23 14:00:00,ID-1,1
7,2023-08-23 16:00:00,FAIR-D1,1
8,2023-08-23 16:00:00,ID-1,1
9,2023-08-23 18:00:00,ID-1,3
10,2023-08-24 08:00:00,ID-1,3
11,2023-08-24 10:00:00,FAIR-D1,3
12,2023-08-24 12:00:00,FAIR-D1,3
13,2023-08-24 14:00:00,ID-1,1
14,2023-08-24 18:00:00,ID-1,4
15,2023-08-25 12:00:00,ID-1,15
16,2023-08-25 14:00:00,ID-1,19
17,2023-08-25 16:00:00,FAIR-D1,6
18,2023-08-25 16:00:00,ID-1,1
19,2023-08-25 18:00:00,FAIR-D1,2
20,2023-08-25 18:00:00,ID-1,3
21,2023-08-26 06:00:00,FAIR-D1,1
22,2023-08-26 08:00:00,FAIR-D1,28
23,2023-08-26 08:00:00,ID-1,5
24,2023-08-26 10:00:00,FAIR-D1,28
25,2023-08-26 12:00:00,FAIR-D1,12
26,2023-08-26 12:00:00,ID-1,13
27,2023-08-26 14:00:00,FAIR-D1,24
28,2023-08-26 14:00:00,ID-1,13
29,2023-08-26 16:00:00,FAIR-D1,2
30,2023-08-26 18:00:00,ID-1,1
31,2023-08-27 06:00:00,ID-1,2
32,2023-08-27 08:00:00,FAIR-D1,8
33,2023-08-27 08:00:00,ID-1,1
34,2023-08-27 10:00:00,FAIR-D1,21
35,2023-08-27 12:00:00,FAIR-D1,9
36,2023-08-27 12:00:00,ID-1,6
37,2023-08-27 14:00:00,FAIR-D1,6
38,2023-08-27 14:00:00,ID-1,5
39,2023-08-27 18:00:00,FAIR-D1,1
40,2023-08-27 18:00:00,ID-1,3
41,2023-08-28 06:00:00,FAIR-D1,1
42,2023-08-28 08:00:00,FAIR-D1,1
43,2023-08-28 08:00:00,ID-1,6
44,2023-08-28 10:00:00,FAIR-D1,1
45,2023-08-28 12:00:00,FAIR-D1,1
46,2023-08-28 12:00:00,ID-1,16
47,2023-08-28 14:00:00,ID-1,5
48,2023-08-28 16:00:00,ID-1,2
49,2023-08-30 08:00:00,ID-1,2
50,2023-08-30 12:00:00,FAIR-D1,14
51,2023-08-30 12:00:00,ID-1,18
52,2023-08-30 14:00:00,FAIR-D1,3
53,2023-08-30 14:00:00,ID-1,26
54,2023-08-30 16:00:00,FAIR-D1,2
55,2023-08-30 16:00:00,ID-1,1
56,2023-08-30 18:00:00,FAIR-D1,1
57,2023-08-30 18:00:00,ID-1,1
58,2023-08-31 08:00:00,FAIR-D1,5
59,2023-08-31 10:00:00,FAIR-D1,4
60,2023-08-31 12:00:00,FAIR-D1,3
61,2023-08-31 16:00:00,FAIR-D1,2
62,2023-08-31 18:00:00,FAIR-D1,2
63,2023-09-01 06:00:00,FAIR-D1,1
64,2023-09-01 08:00:00,FAIR-D1,3
65,2023-09-01 08:00:00,ID-1,1
66,2023-09-01 10:00:00,FAIR-D1,1
67,2023-09-01 12:00:00,FAIR-D1,5
68,2023-09-01 12:00:00,ID-1,40
69,2023-09-01 14:00:00,FAIR-D1,6
70,2023-09-01 14:00:00,ID-1,9
71,2023-09-01 16:00:00,FAIR-D1,6
72,2023-09-01 16:00:00,ID-1,2
73,2023-09-01 18:00:00,FAIR-D1,1
74,2023-09-01 18:00:00,ID-1,2
