ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
774,ID,ID-1,Site 1,Maize Field,2023-08-23 09:01:53.776,2023-08-23 09:01:56.625,00:00:02.849000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:01:53.776
775,ID,ID-1,Site 1,Maize Field,2023-08-23 09:06:49.635,2023-08-23 09:08:44.921,00:01:55.286000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-08-23 09:06:49.635
776,ID,ID-1,Site 1,Maize Field,2023-08-23 09:13:20.758,2023-08-23 09:13:52.189,00:00:31.431000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-08-23 09:13:20.758
777,ID,ID-1,Site 1,Maize Field,2023-08-23 09:14:04.839,2023-08-23 09:15:09.092,00:01:04.253000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-08-23 09:14:04.839
778,ID,ID-1,Site 1,Maize Field,2023-08-23 09:29:06.795,2023-08-23 09:29:21.265,00:00:14.470000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-08-23 09:29:06.795
3144,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 09:29:19.000,2023-08-23 09:30:37.000,00:01:18,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:29:19.000
3145,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 11:17:18.000,2023-08-23 11:17:27.000,00:00:09,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 11:17:18.000
779,ID,ID-1,Site 1,Maize Field,2023-08-23 12:08:16.657,2023-08-23 12:08:22.365,00:00:05.708000,beetle,Insecta,Coleoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 12:08:16.657
780,ID,ID-1,Site 1,Maize Field,2023-08-23 12:08:30.805,2023-08-23 12:08:54.991,00:00:24.186000,noth,Insecta,Lepidoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 12:08:30.805
3146,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 12:30:54.000,2023-08-23 12:31:05.000,00:00:11,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 12:30:54.000
781,ID,ID-1,Site 1,Maize Field,2023-08-23 14:02:22.289,2023-08-23 14:03:00.863,00:00:38.574000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-23 14:02:22.289
3147,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 14:05:01.000,2023-08-23 14:05:06.000,00:00:05,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,#N/C,2023-08-23 14:05:01.000
3148,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 14:35:38.000,2023-08-23 14:37:03.000,00:01:25,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 14:35:38.000
3149,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 15:55:57.000,2023-08-23 15:56:00.000,00:00:03,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 15:55:57.000
3150,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 15:59:41.000,2023-08-23 15:59:46.000,00:00:05,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 15:59:41.000
782,ID,ID-1,Site 1,Maize Field,2023-08-23 17:03:31.423,2023-08-23 17:03:35.765,00:00:04.342000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-23 17:03:31.423
3151,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 17:58:40.000,2023-08-23 17:59:25.000,00:00:45,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 17:58:40.000
783,ID,ID-1,Site 1,Maize Field,2023-08-23 18:30:37.664,2023-08-23 18:30:51.890,00:00:14.226000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 18:30:37.664
784,ID,ID-1,Site 1,Maize Field,2023-08-23 18:31:08.683,2023-08-23 18:31:24.244,00:00:15.561000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 18:31:08.683
785,ID,ID-1,Site 1,Maize Field,2023-08-23 18:34:21.043,2023-08-23 18:34:29.586,00:00:08.543000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 18:34:21.043
786,ID,ID-1,Site 1,Maize Field,2023-08-24 09:07:41.470,2023-08-24 09:07:44.325,00:00:02.855000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 09:07:41.470
787,ID,ID-1,Site 1,Maize Field,2023-08-24 09:22:37.533,2023-08-24 09:23:04.630,00:00:27.097000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 09:22:37.533
788,ID,ID-1,Site 1,Maize Field,2023-08-24 09:26:25.741,2023-08-24 09:26:28.553,00:00:02.812000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-08-24 09:26:25.741
3152,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 10:00:38.000,2023-08-24 10:01:15.000,00:00:37,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 10:00:38.000
3153,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 10:34:11.000,2023-08-24 10:34:18.000,00:00:07,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 10:34:11.000
3154,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 11:17:40.000,2023-08-24 11:17:45.000,00:00:05,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,#N/C,2023-08-24 11:17:40.000
3155,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 12:14:23.000,2023-08-24 12:16:14.000,00:01:51,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-24 12:14:23.000
3156,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 12:55:06.000,2023-08-24 12:55:11.000,00:00:05,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Vespula,#N/C,2023-08-24 12:55:06.000
3157,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-24 13:33:18.000,2023-08-24 13:33:23.000,00:00:05,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 13:33:18.000
789,ID,ID-1,Site 1,Maize Field,2023-08-24 14:02:23.501,2023-08-24 14:02:50.704,00:00:27.203000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-24 14:02:23.501
790,ID,ID-1,Site 1,Maize Field,2023-08-24 18:03:36.615,2023-08-24 18:04:39.222,00:01:02.607000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:03:36.615
791,ID,ID-1,Site 1,Maize Field,2023-08-24 18:14:32.414,2023-08-24 18:14:45.253,00:00:12.839000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:14:32.414
792,ID,ID-1,Site 1,Maize Field,2023-08-24 18:31:13.134,2023-08-24 18:31:43.233,00:00:30.099000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:31:13.134
793,ID,ID-1,Site 1,Maize Field,2023-08-24 18:34:17.674,2023-08-24 18:34:20.526,00:00:02.852000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:34:17.674
794,ID,ID-1,Site 1,Maize Field,2023-08-25 13:05:46.186,2023-08-25 13:07:03.363,00:01:17.177000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:05:46.186
795,ID,ID-1,Site 1,Maize Field,2023-08-25 13:07:28.605,2023-08-25 13:07:37.258,00:00:08.653000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:07:28.605
796,ID,ID-1,Site 1,Maize Field,2023-08-25 13:14:53.924,2023-08-25 13:15:28.238,00:00:34.314000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:14:53.924
797,ID,ID-1,Site 1,Maize Field,2023-08-25 13:22:08.343,2023-08-25 13:24:05.637,00:01:57.294000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:22:08.343
798,ID,ID-1,Site 1,Maize Field,2023-08-25 13:24:33.661,2023-08-25 13:24:54.964,00:00:21.303000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 13:24:33.661
799,ID,ID-1,Site 1,Maize Field,2023-08-25 13:29:08.912,2023-08-25 13:31:06.433,00:01:57.521000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:29:08.912
800,ID,ID-1,Site 1,Maize Field,2023-08-25 13:34:46.070,2023-08-25 13:35:25.025,00:00:38.955000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:34:46.070
801,ID,ID-1,Site 1,Maize Field,2023-08-25 13:34:47.541,2023-08-25 13:35:05.004,00:00:17.463000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 13:34:47.541
802,ID,ID-1,Site 1,Maize Field,2023-08-25 13:36:03.015,2023-08-25 13:36:07.363,00:00:04.348000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:36:03.015
803,ID,ID-1,Site 1,Maize Field,2023-08-25 13:36:03.051,2023-08-25 13:36:07.394,00:00:04.343000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 13:36:03.051
804,ID,ID-1,Site 1,Maize Field,2023-08-25 13:36:18.800,2023-08-25 13:36:50.535,00:00:31.735000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:36:18.800
805,ID,ID-1,Site 1,Maize Field,2023-08-25 13:36:28.889,2023-08-25 13:36:47.693,00:00:18.804000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 13:36:28.889
806,ID,ID-1,Site 1,Maize Field,2023-08-25 13:38:17.813,2023-08-25 13:38:54.700,00:00:36.887000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 13:38:17.813
807,ID,ID-1,Site 1,Maize Field,2023-08-25 13:39:14.440,2023-08-25 13:39:21.634,00:00:07.194000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:39:14.440
808,ID,ID-1,Site 1,Maize Field,2023-08-25 13:39:23.115,2023-08-25 13:40:39.170,00:01:16.055000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-25 13:39:23.115
809,ID,ID-1,Site 1,Maize Field,2023-08-25 14:01:18.864,2023-08-25 14:01:50.125,00:00:31.261000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 14:01:18.864
810,ID,ID-1,Site 1,Maize Field,2023-08-25 14:02:32.583,2023-08-25 14:02:56.574,00:00:23.991000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 14:02:32.583
811,ID,ID-1,Site 1,Maize Field,2023-08-25 14:08:14.145,2023-08-25 14:09:10.369,00:00:56.224000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 14:08:14.145
