DateTime,FAIR-D1,ID-1
2023-08-23 08:00:00,1.0,5.0
2023-08-23 10:00:00,1.0,
2023-08-23 12:00:00,1.0,2.0
2023-08-23 14:00:00,4.0,1.0
2023-08-23 16:00:00,1.0,1.0
2023-08-23 18:00:00,,3.0
2023-08-24 08:00:00,,3.0
2023-08-24 10:00:00,3.0,
2023-08-24 12:00:00,3.0,
2023-08-24 14:00:00,,1.0
2023-08-24 18:00:00,,4.0
2023-08-25 12:00:00,,15.0
2023-08-25 14:00:00,,19.0
2023-08-25 16:00:00,6.0,1.0
2023-08-25 18:00:00,2.0,3.0
2023-08-26 06:00:00,1.0,
2023-08-26 08:00:00,28.0,5.0
2023-08-26 10:00:00,28.0,
2023-08-26 12:00:00,12.0,13.0
2023-08-26 14:00:00,24.0,13.0
2023-08-26 16:00:00,2.0,
2023-08-26 18:00:00,,1.0
2023-08-27 06:00:00,,2.0
2023-08-27 08:00:00,8.0,1.0
2023-08-27 10:00:00,21.0,
2023-08-27 12:00:00,9.0,6.0
2023-08-27 14:00:00,6.0,5.0
2023-08-27 18:00:00,1.0,3.0
2023-08-28 06:00:00,1.0,
2023-08-28 08:00:00,1.0,6.0
2023-08-28 10:00:00,1.0,
2023-08-28 12:00:00,1.0,16.0
2023-08-28 14:00:00,,5.0
2023-08-28 16:00:00,,2.0
2023-08-30 08:00:00,,2.0
2023-08-30 12:00:00,14.0,18.0
2023-08-30 14:00:00,3.0,26.0
2023-08-30 16:00:00,2.0,1.0
2023-08-30 18:00:00,1.0,1.0
2023-08-31 08:00:00,5.0,
2023-08-31 10:00:00,4.0,
2023-08-31 12:00:00,3.0,
2023-08-31 16:00:00,2.0,
2023-08-31 18:00:00,2.0,
2023-09-01 06:00:00,1.0,
2023-09-01 08:00:00,3.0,1.0
2023-09-01 10:00:00,1.0,
2023-09-01 12:00:00,5.0,40.0
2023-09-01 14:00:00,6.0,9.0
2023-09-01 16:00:00,6.0,2.0
2023-09-01 18:00:00,1.0,2.0
