,DateTime,Device,Class
0,2023-08-23 08:00:00,FAIR-D3,9
1,2023-08-23 10:00:00,FAIR-D3,4
2,2023-08-23 12:00:00,FAIR-D3,4
3,2023-08-23 14:00:00,FAIR-D3,2
4,2023-08-23 16:00:00,FAIR-D3,3
5,2023-08-23 18:00:00,FAIR-D3,1
6,2023-08-24 08:00:00,FAIR-D3,2
7,2023-08-24 10:00:00,FAIR-D3,6
8,2023-08-24 12:00:00,FAIR-D3,1
9,2023-08-24 14:00:00,FAIR-D3,3
10,2023-08-24 16:00:00,FAIR-D3,3
11,2023-08-24 18:00:00,FAIR-D3,3
12,2023-08-25 06:00:00,FAIR-D3,1
13,2023-08-25 08:00:00,FAIR-D3,5
14,2023-08-25 10:00:00,FAIR-D3,5
15,2023-08-25 12:00:00,FAIR-D3,2
16,2023-08-25 14:00:00,FAIR-D3,3
17,2023-08-25 16:00:00,FAIR-D3,6
18,2023-08-25 18:00:00,FAIR-D3,2
19,2023-08-26 06:00:00,FAIR-D3,3
20,2023-08-26 08:00:00,FAIR-D3,7
21,2023-08-26 10:00:00,FAIR-D3,13
22,2023-08-26 12:00:00,FAIR-D3,12
23,2023-08-26 14:00:00,FAIR-D3,9
24,2023-08-26 16:00:00,FAIR-D3,2
25,2023-08-27 08:00:00,FAIR-D3,2
26,2023-08-27 10:00:00,FAIR-D3,12
27,2023-08-27 12:00:00,FAIR-D3,8
28,2023-08-27 14:00:00,FAIR-D3,6
29,2023-08-27 16:00:00,FAIR-D3,2
30,2023-08-28 08:00:00,FAIR-D3,2
31,2023-08-28 10:00:00,FAIR-D3,2
32,2023-08-28 12:00:00,FAIR-D3,1
33,2023-08-29 08:00:00,FAIR-D3,1
34,2023-08-29 12:00:00,FAIR-D3,2
35,2023-08-29 14:00:00,FAIR-D3,7
36,2023-08-29 16:00:00,FAIR-D3,4
37,2023-08-29 18:00:00,FAIR-D3,1
38,2023-08-30 08:00:00,FAIR-D3,1
39,2023-08-30 10:00:00,FAIR-D3,5
40,2023-08-30 12:00:00,FAIR-D3,8
41,2023-08-30 14:00:00,FAIR-D3,3
42,2023-08-30 16:00:00,FAIR-D3,2
43,2023-08-31 08:00:00,FAIR-D3,1
44,2023-08-31 10:00:00,FAIR-D3,1
45,2023-08-31 12:00:00,FAIR-D3,1
46,2023-08-31 14:00:00,FAIR-D3,4
47,2023-08-31 16:00:00,FAIR-D3,1
48,2023-08-31 18:00:00,FAIR-D3,2
49,2023-09-01 06:00:00,FAIR-D3,2
50,2023-09-01 08:00:00,FAIR-D3,3
51,2023-09-01 10:00:00,FAIR-D3,3
52,2023-09-01 12:00:00,FAIR-D3,2
53,2023-09-01 14:00:00,FAIR-D3,6
54,2023-09-01 16:00:00,FAIR-D3,2
