DateTime,FAIR-D1,FAIR-D3,ID-1,ID-2,FAIR-D2,FAIR-D4,ID-3,ID-4
2023-09-11 18:00:00,0.0,1.0,0.0,14.0,0.0,1.0,8.0,8.0
2023-09-12 06:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2023-09-12 08:00:00,1.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0
2023-09-12 10:00:00,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2023-09-12 12:00:00,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
2023-09-12 14:00:00,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
2023-09-12 16:00:00,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2023-09-12 18:00:00,0.0,1.0,9.0,13.0,0.0,1.0,65.0,65.0
2023-09-13 06:00:00,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2023-09-13 08:00:00,0.0,0.0,4.0,20.0,0.0,0.0,15.0,15.0
2023-09-13 10:00:00,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2023-09-13 12:00:00,0.0,0.0,28.0,7.0,0.0,1.0,7.0,7.0
2023-09-13 14:00:00,0.0,2.0,5.0,24.0,0.0,2.0,4.0,4.0
2023-09-13 16:00:00,0.0,1.0,2.0,0.0,0.0,1.0,23.0,23.0
2023-09-13 18:00:00,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
