,DateTime,Device,Class
137,2023-09-06 14:00:00,ID-4,2
138,2023-09-06 16:00:00,FAIR-D1,1
139,2023-09-06 16:00:00,FAIR-D3,1
140,2023-09-06 16:00:00,ID-2,5
141,2023-09-06 16:00:00,ID-3,2
142,2023-09-06 16:00:00,ID-4,2
143,2023-09-06 18:00:00,FAIR-D1,2
144,2023-09-06 18:00:00,ID-2,4
145,2023-09-06 18:00:00,ID-3,11
146,2023-09-06 18:00:00,ID-4,11
147,2023-09-07 06:00:00,ID-3,9
148,2023-09-07 06:00:00,ID-4,9
149,2023-09-07 08:00:00,FAIR-D4,2
150,2023-09-07 08:00:00,ID-1,1
151,2023-09-07 08:00:00,ID-2,3
152,2023-09-07 08:00:00,ID-3,3
153,2023-09-07 08:00:00,ID-4,3
154,2023-09-07 12:00:00,FAIR-D3,2
155,2023-09-07 12:00:00,FAIR-D4,1
156,2023-09-07 12:00:00,ID-1,4
157,2023-09-07 12:00:00,ID-2,5
158,2023-09-07 12:00:00,ID-3,4
159,2023-09-07 12:00:00,ID-4,4
160,2023-09-07 14:00:00,FAIR-D3,1
161,2023-09-07 14:00:00,ID-2,2
162,2023-09-07 14:00:00,ID-3,1
163,2023-09-07 14:00:00,ID-4,1
164,2023-09-07 16:00:00,FAIR-D3,1
165,2023-09-07 16:00:00,FAIR-D4,1
166,2023-09-07 16:00:00,ID-1,1
167,2023-09-07 16:00:00,ID-2,1
168,2023-09-07 16:00:00,ID-3,57
169,2023-09-07 16:00:00,ID-4,57
170,2023-09-07 18:00:00,FAIR-D4,1
171,2023-09-07 18:00:00,ID-1,1
172,2023-09-07 18:00:00,ID-2,7
173,2023-09-07 18:00:00,ID-3,13
174,2023-09-07 18:00:00,ID-4,13
175,2023-09-08 06:00:00,FAIR-D3,1
176,2023-09-08 08:00:00,FAIR-D1,1
177,2023-09-08 08:00:00,ID-2,3
178,2023-09-08 08:00:00,ID-3,3
179,2023-09-08 08:00:00,ID-4,3
180,2023-09-08 10:00:00,FAIR-D4,2
181,2023-09-08 12:00:00,FAIR-D3,1
182,2023-09-08 12:00:00,ID-1,1
183,2023-09-08 12:00:00,ID-2,1
184,2023-09-08 12:00:00,ID-3,15
185,2023-09-08 12:00:00,ID-4,15
186,2023-09-08 14:00:00,FAIR-D3,1
187,2023-09-08 14:00:00,ID-1,1
188,2023-09-08 16:00:00,ID-2,15
189,2023-09-08 16:00:00,ID-3,2
190,2023-09-08 16:00:00,ID-4,2
191,2023-09-08 18:00:00,FAIR-D3,1
192,2023-09-08 18:00:00,ID-2,7
193,2023-09-08 18:00:00,ID-3,6
194,2023-09-08 18:00:00,ID-4,6
195,2023-09-09 06:00:00,ID-1,1
196,2023-09-09 08:00:00,FAIR-D3,1
197,2023-09-09 08:00:00,ID-1,1
198,2023-09-09 08:00:00,ID-3,2
199,2023-09-09 08:00:00,ID-4,2
200,2023-09-09 10:00:00,FAIR-D1,2
201,2023-09-09 10:00:00,FAIR-D3,2
202,2023-09-09 10:00:00,FAIR-D4,1
203,2023-09-09 12:00:00,FAIR-D4,2
204,2023-09-09 12:00:00,ID-2,2
205,2023-09-09 12:00:00,ID-3,4
206,2023-09-09 12:00:00,ID-4,4
207,2023-09-09 16:00:00,FAIR-D3,1
208,2023-09-09 16:00:00,FAIR-D4,1
209,2023-09-09 16:00:00,ID-2,1
210,2023-09-09 16:00:00,ID-3,1
211,2023-09-09 16:00:00,ID-4,1
212,2023-09-09 18:00:00,FAIR-D3,1
213,2023-09-09 18:00:00,ID-1,4
214,2023-09-09 18:00:00,ID-2,25
215,2023-09-09 18:00:00,ID-3,3
216,2023-09-09 18:00:00,ID-4,3
217,2023-09-10 08:00:00,FAIR-D3,2
218,2023-09-10 08:00:00,ID-3,1
219,2023-09-10 08:00:00,ID-4,1
220,2023-09-10 10:00:00,FAIR-D1,3
221,2023-09-10 10:00:00,FAIR-D3,1
222,2023-09-10 10:00:00,FAIR-D4,2
223,2023-09-10 12:00:00,FAIR-D3,3
224,2023-09-10 12:00:00,FAIR-D4,1
225,2023-09-10 12:00:00,ID-1,1
226,2023-09-10 12:00:00,ID-2,1
227,2023-09-10 12:00:00,ID-3,2
228,2023-09-10 12:00:00,ID-4,2
229,2023-09-10 14:00:00,FAIR-D3,3
230,2023-09-10 14:00:00,ID-2,2
231,2023-09-10 14:00:00,ID-3,4
232,2023-09-10 14:00:00,ID-4,4
233,2023-09-10 16:00:00,FAIR-D1,3
234,2023-09-10 16:00:00,FAIR-D2,2
235,2023-09-10 16:00:00,FAIR-D4,3
236,2023-09-10 16:00:00,ID-1,4
237,2023-09-10 16:00:00,ID-2,2
238,2023-09-10 16:00:00,ID-3,8
239,2023-09-10 16:00:00,ID-4,8
240,2023-09-10 18:00:00,ID-1,5
241,2023-09-10 18:00:00,ID-2,15
242,2023-09-10 18:00:00,ID-3,13
243,2023-09-10 18:00:00,ID-4,13
244,2023-09-11 08:00:00,FAIR-D1,3
245,2023-09-11 08:00:00,FAIR-D2,1
246,2023-09-11 08:00:00,ID-1,2
247,2023-09-11 08:00:00,ID-2,1
248,2023-09-11 08:00:00,ID-3,1
249,2023-09-11 08:00:00,ID-4,1
250,2023-09-11 10:00:00,FAIR-D1,2
251,2023-09-11 10:00:00,FAIR-D3,2
252,2023-09-11 10:00:00,FAIR-D4,1
253,2023-09-11 12:00:00,FAIR-D3,1
254,2023-09-11 12:00:00,ID-3,1
255,2023-09-11 12:00:00,ID-4,1
256,2023-09-11 16:00:00,ID-1,1
257,2023-09-11 16:00:00,ID-2,18
258,2023-09-11 18:00:00,FAIR-D3,1
259,2023-09-11 18:00:00,FAIR-D4,1
260,2023-09-11 18:00:00,ID-2,14
261,2023-09-11 18:00:00,ID-3,8
262,2023-09-11 18:00:00,ID-4,8
263,2023-09-12 06:00:00,FAIR-D2,1
264,2023-09-12 08:00:00,FAIR-D1,1
265,2023-09-12 08:00:00,FAIR-D2,1
266,2023-09-12 08:00:00,FAIR-D3,2
267,2023-09-12 08:00:00,FAIR-D4,1
268,2023-09-12 08:00:00,ID-2,1
269,2023-09-12 08:00:00,ID-3,3
270,2023-09-12 08:00:00,ID-4,3
271,2023-09-12 10:00:00,FAIR-D4,2
272,2023-09-12 12:00:00,FAIR-D1,1
273,2023-09-12 12:00:00,FAIR-D3,2
274,2023-09-12 12:00:00,FAIR-D4,1
275,2023-09-12 12:00:00,ID-1,1
276,2023-09-12 12:00:00,ID-2,2
277,2023-09-12 14:00:00,ID-2,3
278,2023-09-12 14:00:00,ID-3,1
279,2023-09-12 14:00:00,ID-4,1
280,2023-09-12 16:00:00,FAIR-D3,1
281,2023-09-12 16:00:00,ID-3,1
282,2023-09-12 16:00:00,ID-4,1
283,2023-09-12 18:00:00,FAIR-D3,1
284,2023-09-12 18:00:00,FAIR-D4,1
285,2023-09-12 18:00:00,ID-1,9
286,2023-09-12 18:00:00,ID-2,13
287,2023-09-12 18:00:00,ID-3,65
288,2023-09-12 18:00:00,ID-4,65
289,2023-09-13 06:00:00,FAIR-D1,1
290,2023-09-13 06:00:00,ID-3,4
291,2023-09-13 06:00:00,ID-4,4
292,2023-09-13 08:00:00,ID-1,4
293,2023-09-13 08:00:00,ID-2,20
294,2023-09-13 08:00:00,ID-3,15
295,2023-09-13 08:00:00,ID-4,15
296,2023-09-13 10:00:00,FAIR-D4,3
297,2023-09-13 12:00:00,FAIR-D4,1
298,2023-09-13 12:00:00,ID-1,28
299,2023-09-13 12:00:00,ID-2,7
300,2023-09-13 12:00:00,ID-3,7
301,2023-09-13 12:00:00,ID-4,7
302,2023-09-13 14:00:00,FAIR-D3,2
303,2023-09-13 14:00:00,FAIR-D4,2
304,2023-09-13 14:00:00,ID-1,5
305,2023-09-13 14:00:00,ID-2,24
306,2023-09-13 14:00:00,ID-3,4
307,2023-09-13 14:00:00,ID-4,4
308,2023-09-13 16:00:00,FAIR-D3,1
309,2023-09-13 16:00:00,FAIR-D4,1
310,2023-09-13 16:00:00,ID-1,2
311,2023-09-13 16:00:00,ID-3,23
312,2023-09-13 16:00:00,ID-4,23
313,2023-09-13 18:00:00,FAIR-D3,1
314,2023-09-13 18:00:00,ID-1,2
315,2023-09-13 18:00:00,ID-3,2
316,2023-09-13 18:00:00,ID-4,2
