Tag,Stunde,Time,RH,AIRTEMP20,AIRTEMP,GROUNDTEMP05,GROUNDTEMP,WINDSPEED,RAD,PRECIPITATION
1.6926624e+18,0.0,1.6926876e+18,96.1,19.4,20.0,23.2,21.2,0.5,104.6,0.0
1.6926624e+18,0.0,1.6926885e+18,92.35,20.2,20.775,23.425,21.175,0.55,139.75,0.0
1.6926624e+18,0.0,1.6926894e+18,88.6,21.0,21.55,23.65,21.15,0.6,174.89999999999998,0.0
1.6926624e+18,0.0,1.6926903e+18,84.85,21.8,22.325000000000003,23.875,21.125,0.6499999999999999,210.04999999999998,0.0
1.6926624e+18,0.0,1.6926912e+18,81.1,22.6,23.1,24.1,21.1,0.7,245.2,0.0
1.6926624e+18,0.0,1.6926921e+18,77.1,23.475,23.925,24.400000000000002,21.1,0.8,286.825,0.0
1.6926624e+18,0.0,1.692693e+18,73.1,24.35,24.75,24.700000000000003,21.1,0.9,328.45,0.0
1.6926624e+18,0.0,1.6926939e+18,69.1,25.225,25.575,25.0,21.1,1.0,370.075,0.0
1.6926624e+18,0.0,1.6926948e+18,65.1,26.1,26.4,25.3,21.1,1.1,411.7,0.0
1.6926624e+18,0.0,1.6926957e+18,63.125,26.575000000000003,26.825,25.675,21.1,1.225,444.825,0.0
1.6926624e+18,0.0,1.6926966e+18,61.15,27.05,27.25,26.05,21.1,1.35,477.95000000000005,0.0
1.6926624e+18,0.0,1.6926975e+18,59.175,27.525,27.675,26.425,21.1,1.475,511.07500000000005,0.0
1.6926624e+18,0.0,1.6926984e+18,57.2,28.0,28.1,26.8,21.1,1.6,544.2,0.0
1.6926624e+18,0.0,1.6926993e+18,55.875,28.4,28.425,27.15,21.150000000000002,1.6500000000000001,579.3000000000001,0.0
1.6926624e+18,0.0,1.6927002e+18,54.55,28.8,28.75,27.5,21.200000000000003,1.7000000000000002,614.4000000000001,0.0
1.6926624e+18,0.0,1.6927011e+18,53.225,29.200000000000003,29.075,27.85,21.25,1.75,649.5,0.0
1.6926624e+18,0.0,1.692702e+18,51.9,29.6,29.4,28.2,21.3,1.8,684.6,0.0
1.6926624e+18,0.0,1.6927029e+18,52.125,29.725,29.5,28.5,21.325,1.95,677.525,0.0
1.6926624e+18,0.0,1.6927038e+18,52.349999999999994,29.85,29.6,28.799999999999997,21.35,2.1,670.45,0.0
1.6926624e+18,0.0,1.6927047e+18,52.574999999999996,29.975,29.7,29.099999999999998,21.375,2.25,663.375,0.0
1.6926624e+18,0.0,1.6927056e+18,52.8,30.1,29.8,29.4,21.4,2.4,656.3,0.0
1.6926624e+18,0.0,1.6927065e+18,52.3,30.200000000000003,29.9,29.599999999999998,21.474999999999998,2.575,657.5,0.0
1.6926624e+18,0.0,1.6927074e+18,51.8,30.3,30.0,29.799999999999997,21.549999999999997,2.75,658.7,0.0
