Time,AIRTEMP,GROUNDTEMP,AIRP,PRECIPITATION,RH,RH_GROUND,WINDSPEED,WINDSPEED_MIN,WINDSPEED_MAX,RAD,DateTime
1692733500000000000,29.1,0.0,990.94,0.0,100.0,0.0,3.4,1.36,6.53,0.0,2023-08-22 19:45:00
1692734400000000000,26.3,0.0,983.15,0.0,100.0,0.0,1.82,0.48,3.24,0.0,2023-08-22 20:00:00
1692735300000000000,26.3,0.0,983.15,0.0,100.0,0.0,1.82,0.48,3.24,0.0,2023-08-22 20:15:00
1692736200000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 20:30:00
1692737100000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 20:45:00
1692738000000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 21:00:00
1692738900000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 21:15:00
1692739800000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 21:30:00
1692740700000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 21:45:00
1692741600000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 22:00:00
1692742500000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 22:15:00
1692743400000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 22:30:00
1692744300000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 22:45:00
1692745200000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 23:00:00
1692746100000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 23:15:00
1692747000000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 23:30:00
1692747900000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-22 23:45:00
1692748800000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 00:00:00
1692749700000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 00:15:00
1692750600000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 00:30:00
1692751500000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 00:45:00
1692752400000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 01:00:00
1692753300000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 01:15:00
1692754200000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 01:30:00
1692755100000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 01:45:00
1692756000000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 02:00:00
1692756900000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 02:15:00
1692757800000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 02:30:00
1692758700000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 02:45:00
1692759600000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 03:00:00
1692760500000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 03:15:00
1692761400000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 03:30:00
1692762300000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 03:45:00
1692763200000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 04:00:00
1692764100000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 04:15:00
1692765000000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 04:30:00
1692765900000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 04:45:00
1692766800000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 05:00:00
1692767700000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 05:15:00
1692768600000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 05:30:00
1692769500000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 05:45:00
1692770400000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 06:00:00
1692771300000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 06:15:00
1692772200000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 06:30:00
1692773100000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 06:45:00
1692774000000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 07:00:00
1692774900000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 07:15:00
1692775800000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 07:30:00
1692776700000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 07:45:00
1692777600000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 08:00:00
1692778500000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 08:15:00
1692779400000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 08:30:00
1692780300000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 08:45:00
1692781200000000000,25.0,0.0,991.87,0.0,100.0,0.0,1.07,0.0,1.6,0.0,2023-08-23 09:00:00
1692782100000000000,27.2,0.0,978.22,0.0,100.0,0.0,0.49,0.0,1.6,0.0,2023-08-23 09:15:00
1692783000000000000,27.2,0.0,978.22,0.0,100.0,0.0,0.49,0.0,1.6,0.0,2023-08-23 09:30:00
1692783900000000000,27.2,0.0,976.93,0.0,100.0,0.0,0.45,0.0,2.16,0.0,2023-08-23 09:45:00
1692784800000000000,27.2,0.0,976.93,0.0,100.0,0.0,0.45,0.0,2.16,0.0,2023-08-23 10:00:00
1692785700000000000,26.3,0.0,973.32,0.0,100.0,0.0,1.08,0.0,3.8,0.0,2023-08-23 10:15:00
1692786600000000000,26.3,0.0,973.32,0.0,100.0,0.0,1.08,0.0,3.8,0.0,2023-08-23 10:30:00
1692787500000000000,27.0,0.0,971.57,0.0,100.0,0.0,1.45,0.12,3.16,0.0,2023-08-23 10:45:00
1692788400000000000,27.0,0.0,971.57,0.0,100.0,0.0,1.45,0.12,3.16,0.0,2023-08-23 11:00:00
1692789300000000000,27.5,0.0,972.8,0.0,100.0,0.0,1.62,0.16,3.16,0.0,2023-08-23 11:15:00
1692790200000000000,27.5,0.0,972.8,0.0,100.0,0.0,1.62,0.16,3.16,0.0,2023-08-23 11:30:00
1692791100000000000,28.1,0.0,978.67,0.0,100.0,0.0,2.5,0.0,5.04,0.0,2023-08-23 11:45:00
1692792000000000000,28.1,0.0,978.67,0.0,100.0,0.0,2.5,0.0,5.04,0.0,2023-08-23 12:00:00
1692792900000000000,28.6,0.0,980.92,0.0,100.0,0.0,3.13,0.64,6.61,0.0,2023-08-23 12:15:00
1692793800000000000,28.6,0.0,980.92,0.0,100.0,0.0,3.13,0.64,6.61,0.0,2023-08-23 12:30:00
1692794700000000000,30.5,0.0,983.11,0.0,91.2,0.0,2.26,0.0,4.84,0.0,2023-08-23 12:45:00
1692795600000000000,30.5,0.0,983.11,0.0,91.2,0.0,2.26,0.0,4.84,0.0,2023-08-23 13:00:00
1692796500000000000,30.5,0.0,977.91,0.0,91.2,0.0,2.73,0.04,5.89,0.0,2023-08-23 13:15:00
1692797400000000000,30.5,0.0,977.91,0.0,81.5,0.0,2.73,0.04,5.89,0.0,2023-08-23 13:30:00
1692798300000000000,30.5,0.0,977.91,0.0,81.5,0.0,2.73,0.04,5.89,0.0,2023-08-23 13:45:00
1692799200000000000,31.6,0.0,978.82,0.0,87.0,0.0,2.82,0.84,6.25,0.0,2023-08-23 14:00:00
1692800100000000000,31.6,0.0,978.82,0.0,87.0,0.0,2.82,0.84,6.25,0.0,2023-08-23 14:15:00
1692801000000000000,31.4,0.0,979.32,0.0,81.2,0.0,3.71,0.36,6.49,0.0,2023-08-23 14:30:00
1692801900000000000,31.4,0.0,979.32,0.0,81.2,0.0,3.71,0.36,6.49,0.0,2023-08-23 14:45:00
1692802800000000000,31.4,0.0,979.37,0.0,85.2,0.0,3.98,0.36,7.01,0.0,2023-08-23 15:00:00
1692803700000000000,31.4,0.0,979.37,0.0,85.2,0.0,3.98,0.36,7.01,0.0,2023-08-23 15:15:00
1692804600000000000,32.2,0.0,978.97,0.0,70.0,0.0,2.56,0.04,5.69,0.0,2023-08-23 15:30:00
1692805500000000000,32.2,0.0,978.97,0.0,70.0,0.0,2.56,0.04,5.69,0.0,2023-08-23 15:45:00
1692806400000000000,31.8,0.0,979.42,0.0,62.2,0.0,3.47,1.04,6.13,0.0,2023-08-23 16:00:00
1692807300000000000,31.8,0.0,979.42,0.0,62.2,0.0,3.47,1.04,6.13,0.0,2023-08-23 16:15:00
1692808200000000000,33.4,0.0,978.4,0.0,66.9,0.0,3.99,1.12,7.53,0.0,2023-08-23 16:30:00
1692809100000000000,33.4,0.0,978.4,0.0,66.9,0.0,3.99,1.12,7.53,0.0,2023-08-23 16:45:00
1692810000000000000,31.4,0.0,978.72,0.0,74.0,0.0,4.24,0.08,8.57,0.0,2023-08-23 17:00:00
