,DateTime,Device,Class
0,2023-09-02 10:00:00,FAIR-D4,10
1,2023-09-02 12:00:00,FAIR-D4,5
2,2023-09-02 12:00:00,ID-4,4
3,2023-09-02 14:00:00,FAIR-D4,4
4,2023-09-02 14:00:00,ID-4,1
5,2023-09-02 16:00:00,FAIR-D4,2
6,2023-09-02 16:00:00,ID-4,10
7,2023-09-02 18:00:00,ID-4,22
8,2023-09-03 06:00:00,FAIR-D4,1
9,2023-09-03 08:00:00,ID-4,4
10,2023-09-03 12:00:00,FAIR-D4,5
11,2023-09-03 12:00:00,ID-4,30
12,2023-09-03 14:00:00,FAIR-D4,2
13,2023-09-03 14:00:00,ID-4,20
14,2023-09-03 16:00:00,FAIR-D4,2
15,2023-09-03 16:00:00,ID-4,2
16,2023-09-03 18:00:00,ID-4,7
17,2023-09-04 06:00:00,FAIR-D4,1
18,2023-09-04 06:00:00,ID-4,1
19,2023-09-04 08:00:00,ID-4,2
20,2023-09-04 10:00:00,FAIR-D4,2
21,2023-09-04 12:00:00,FAIR-D4,2
22,2023-09-04 12:00:00,ID-4,3
23,2023-09-04 14:00:00,FAIR-D4,2
24,2023-09-04 16:00:00,FAIR-D4,2
25,2023-09-04 16:00:00,ID-4,4
26,2023-09-05 08:00:00,ID-4,1
27,2023-09-05 10:00:00,FAIR-D4,2
28,2023-09-05 12:00:00,FAIR-D4,2
29,2023-09-05 12:00:00,ID-4,3
30,2023-09-05 14:00:00,ID-4,1
31,2023-09-05 16:00:00,ID-4,9
32,2023-09-05 18:00:00,ID-4,5
33,2023-09-06 08:00:00,FAIR-D4,1
34,2023-09-06 08:00:00,ID-4,3
35,2023-09-06 10:00:00,FAIR-D4,1
36,2023-09-06 12:00:00,FAIR-D4,2
37,2023-09-06 12:00:00,ID-4,1
38,2023-09-06 14:00:00,ID-4,2
39,2023-09-06 16:00:00,ID-4,2
40,2023-09-06 18:00:00,ID-4,11
41,2023-09-07 06:00:00,ID-4,9
42,2023-09-07 08:00:00,FAIR-D4,2
43,2023-09-07 08:00:00,ID-4,3
44,2023-09-07 12:00:00,FAIR-D4,1
45,2023-09-07 12:00:00,ID-4,4
46,2023-09-07 14:00:00,ID-4,1
47,2023-09-07 16:00:00,FAIR-D4,1
48,2023-09-07 16:00:00,ID-4,57
49,2023-09-07 18:00:00,FAIR-D4,1
50,2023-09-07 18:00:00,ID-4,13
51,2023-09-08 08:00:00,ID-4,3
52,2023-09-08 10:00:00,FAIR-D4,2
53,2023-09-08 12:00:00,ID-4,15
54,2023-09-08 16:00:00,ID-4,2
55,2023-09-08 18:00:00,ID-4,6
56,2023-09-09 08:00:00,ID-4,2
57,2023-09-09 10:00:00,FAIR-D4,1
58,2023-09-09 12:00:00,FAIR-D4,2
59,2023-09-09 12:00:00,ID-4,4
60,2023-09-09 16:00:00,FAIR-D4,1
61,2023-09-09 16:00:00,ID-4,1
62,2023-09-09 18:00:00,ID-4,3
63,2023-09-10 08:00:00,ID-4,1
64,2023-09-10 10:00:00,FAIR-D4,2
65,2023-09-10 12:00:00,FAIR-D4,1
66,2023-09-10 12:00:00,ID-4,2
67,2023-09-10 14:00:00,ID-4,4
68,2023-09-10 16:00:00,FAIR-D4,3
69,2023-09-10 16:00:00,ID-4,8
70,2023-09-10 18:00:00,ID-4,13
71,2023-09-11 08:00:00,ID-4,1
72,2023-09-11 10:00:00,FAIR-D4,1
73,2023-09-11 12:00:00,ID-4,1
74,2023-09-11 18:00:00,FAIR-D4,1
75,2023-09-11 18:00:00,ID-4,8
76,2023-09-12 08:00:00,FAIR-D4,1
77,2023-09-12 08:00:00,ID-4,3
78,2023-09-12 10:00:00,FAIR-D4,2
79,2023-09-12 12:00:00,FAIR-D4,1
80,2023-09-12 14:00:00,ID-4,1
81,2023-09-12 16:00:00,ID-4,1
82,2023-09-12 18:00:00,FAIR-D4,1
83,2023-09-12 18:00:00,ID-4,65
84,2023-09-13 06:00:00,ID-4,4
85,2023-09-13 08:00:00,ID-4,15
86,2023-09-13 10:00:00,FAIR-D4,3
87,2023-09-13 12:00:00,FAIR-D4,1
88,2023-09-13 12:00:00,ID-4,7
89,2023-09-13 14:00:00,FAIR-D4,2
90,2023-09-13 14:00:00,ID-4,4
91,2023-09-13 16:00:00,FAIR-D4,1
92,2023-09-13 16:00:00,ID-4,23
93,2023-09-13 18:00:00,ID-4,2
