DateTime,FAIR-D3
2023-09-02 08:00:00,2
2023-09-02 12:00:00,3
2023-09-02 14:00:00,1
2023-09-03 08:00:00,1
2023-09-03 12:00:00,4
2023-09-03 14:00:00,3
2023-09-03 18:00:00,3
2023-09-04 06:00:00,1
2023-09-04 08:00:00,2
2023-09-04 10:00:00,1
2023-09-04 16:00:00,2
2023-09-05 08:00:00,1
2023-09-05 12:00:00,1
2023-09-05 14:00:00,2
2023-09-06 08:00:00,1
2023-09-06 10:00:00,4
2023-09-06 12:00:00,1
2023-09-06 16:00:00,1
2023-09-07 12:00:00,2
2023-09-07 14:00:00,1
2023-09-07 16:00:00,1
2023-09-08 06:00:00,1
2023-09-08 12:00:00,1
2023-09-08 14:00:00,1
2023-09-08 18:00:00,1
2023-09-09 08:00:00,1
2023-09-09 10:00:00,2
2023-09-09 16:00:00,1
2023-09-09 18:00:00,1
2023-09-10 08:00:00,2
2023-09-10 10:00:00,1
2023-09-10 12:00:00,3
2023-09-10 14:00:00,3
2023-09-11 10:00:00,2
2023-09-11 12:00:00,1
2023-09-11 18:00:00,1
2023-09-12 08:00:00,2
2023-09-12 12:00:00,2
2023-09-12 16:00:00,1
2023-09-12 18:00:00,1
2023-09-13 14:00:00,2
2023-09-13 16:00:00,1
2023-09-13 18:00:00,1
