,DateTime,Device,Class
0,2023-09-02 08:00:00,FAIR-D3,2
1,2023-09-02 12:00:00,FAIR-D3,3
2,2023-09-02 14:00:00,FAIR-D3,1
3,2023-09-03 08:00:00,FAIR-D3,1
4,2023-09-03 12:00:00,FAIR-D3,4
5,2023-09-03 14:00:00,FAIR-D3,3
6,2023-09-03 18:00:00,FAIR-D3,3
7,2023-09-04 06:00:00,FAIR-D3,1
8,2023-09-04 08:00:00,FAIR-D3,2
9,2023-09-04 10:00:00,FAIR-D3,1
10,2023-09-04 16:00:00,FAIR-D3,2
11,2023-09-05 08:00:00,FAIR-D3,1
12,2023-09-05 12:00:00,FAIR-D3,1
13,2023-09-05 14:00:00,FAIR-D3,2
14,2023-09-06 08:00:00,FAIR-D3,1
15,2023-09-06 10:00:00,FAIR-D3,4
16,2023-09-06 12:00:00,FAIR-D3,1
17,2023-09-06 16:00:00,FAIR-D3,1
18,2023-09-07 12:00:00,FAIR-D3,2
19,2023-09-07 14:00:00,FAIR-D3,1
20,2023-09-07 16:00:00,FAIR-D3,1
21,2023-09-08 06:00:00,FAIR-D3,1
22,2023-09-08 12:00:00,FAIR-D3,1
23,2023-09-08 14:00:00,FAIR-D3,1
24,2023-09-08 18:00:00,FAIR-D3,1
25,2023-09-09 08:00:00,FAIR-D3,1
26,2023-09-09 10:00:00,FAIR-D3,2
27,2023-09-09 16:00:00,FAIR-D3,1
28,2023-09-09 18:00:00,FAIR-D3,1
29,2023-09-10 08:00:00,FAIR-D3,2
30,2023-09-10 10:00:00,FAIR-D3,1
31,2023-09-10 12:00:00,FAIR-D3,3
32,2023-09-10 14:00:00,FAIR-D3,3
33,2023-09-11 10:00:00,FAIR-D3,2
34,2023-09-11 12:00:00,FAIR-D3,1
35,2023-09-11 18:00:00,FAIR-D3,1
36,2023-09-12 08:00:00,FAIR-D3,2
37,2023-09-12 12:00:00,FAIR-D3,2
38,2023-09-12 16:00:00,FAIR-D3,1
39,2023-09-12 18:00:00,FAIR-D3,1
40,2023-09-13 14:00:00,FAIR-D3,2
41,2023-09-13 16:00:00,FAIR-D3,1
42,2023-09-13 18:00:00,FAIR-D3,1
