ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
3829,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 08:19:31,2023-09-02 08:20:21,00:00:50,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 08:19:31
3830,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 08:29:19,2023-09-02 08:37:42,00:08:23,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 08:29:19
3831,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 12:33:06,2023-09-02 12:33:45,00:00:39,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-09-02 12:33:06
3832,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 13:01:25,2023-09-02 13:07:10,00:05:45,fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,Sarcophaginae,#N/C,#N/C,2023-09-02 13:01:25
3833,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 13:42:36,2023-09-02 13:49:49,00:07:13,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-09-02 13:42:36
3834,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 15:53:29,2023-09-02 16:15:54,00:22:25,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-09-02 15:53:29
3835,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-03 09:19:54,2023-09-03 09:21:13,00:01:19,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-03 09:19:54
3836,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-03 12:13:57,2023-09-03 12:14:13,00:00:16,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-03 12:13:57
3837,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-03 12:40:28,2023-09-03 13:07:26,00:26:58,fly,Insecta,Diptera,Brachycera,Oestroidea,#N/C,#N/C,#N/C,#N/C,2023-09-03 12:40:28
3838,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-03 13:24:56,2023-09-03 13:25:07,00:00:11,parasitoid_wasp,Insecta,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,#N/C,#N/C,#N/C,2023-09-03 13:24:56
