,DateTime,Device,Class
0,2023-08-23 06:00:00,FAIR-D2,1
1,2023-08-23 06:00:00,ID-2,4
2,2023-08-23 08:00:00,FAIR-D2,2
3,2023-08-23 08:00:00,ID-2,19
4,2023-08-23 10:00:00,FAIR-D2,2
5,2023-08-23 12:00:00,FAIR-D2,1
6,2023-08-23 12:00:00,ID-2,3
7,2023-08-23 14:00:00,FAIR-D2,1
8,2023-08-23 16:00:00,ID-2,3
9,2023-08-24 06:00:00,ID-2,2
10,2023-08-24 08:00:00,ID-2,6
11,2023-08-24 10:00:00,FAIR-D2,1
12,2023-08-24 12:00:00,FAIR-D2,1
13,2023-08-24 14:00:00,FAIR-D2,1
14,2023-08-24 14:00:00,ID-2,1
15,2023-08-24 16:00:00,ID-2,1
16,2023-08-24 18:00:00,FAIR-D2,3
17,2023-08-24 18:00:00,ID-2,9
18,2023-08-25 06:00:00,ID-2,2
19,2023-08-25 08:00:00,ID-2,12
20,2023-08-25 12:00:00,ID-2,38
21,2023-08-25 14:00:00,FAIR-D2,3
22,2023-08-25 14:00:00,ID-2,15
23,2023-08-25 16:00:00,FAIR-D2,3
24,2023-08-25 16:00:00,ID-2,6
25,2023-08-25 18:00:00,FAIR-D2,4
26,2023-08-25 18:00:00,ID-2,11
27,2023-08-26 06:00:00,ID-2,18
28,2023-08-26 08:00:00,FAIR-D2,2
29,2023-08-26 08:00:00,ID-2,27
30,2023-08-26 10:00:00,FAIR-D2,19
31,2023-08-26 12:00:00,FAIR-D2,28
32,2023-08-26 12:00:00,ID-2,23
33,2023-08-26 14:00:00,FAIR-D2,15
34,2023-08-26 14:00:00,ID-2,19
35,2023-08-26 16:00:00,ID-2,3
36,2023-08-26 18:00:00,ID-2,1
37,2023-08-27 06:00:00,ID-2,3
38,2023-08-27 08:00:00,FAIR-D2,8
39,2023-08-27 08:00:00,ID-2,9
40,2023-08-27 10:00:00,FAIR-D2,10
41,2023-08-27 12:00:00,FAIR-D2,9
42,2023-08-27 12:00:00,ID-2,5
43,2023-08-27 14:00:00,FAIR-D2,4
44,2023-08-27 14:00:00,ID-2,3
45,2023-08-27 16:00:00,FAIR-D2,4
46,2023-08-28 08:00:00,FAIR-D2,1
47,2023-08-28 08:00:00,ID-2,1
48,2023-08-28 10:00:00,FAIR-D2,2
49,2023-08-28 12:00:00,FAIR-D2,1
50,2023-08-28 14:00:00,ID-2,4
51,2023-08-29 12:00:00,FAIR-D2,1
52,2023-08-30 08:00:00,ID-2,18
53,2023-08-30 10:00:00,FAIR-D2,1
54,2023-08-30 12:00:00,FAIR-D2,6
55,2023-08-30 12:00:00,ID-2,87
56,2023-08-30 14:00:00,FAIR-D2,2
57,2023-08-30 14:00:00,ID-2,103
58,2023-08-30 16:00:00,FAIR-D2,4
59,2023-08-30 16:00:00,ID-2,13
60,2023-08-30 18:00:00,FAIR-D2,1
61,2023-08-30 18:00:00,ID-2,33
62,2023-08-31 08:00:00,FAIR-D2,1
63,2023-08-31 10:00:00,FAIR-D2,1
64,2023-08-31 12:00:00,FAIR-D2,1
65,2023-08-31 12:00:00,ID-2,97
66,2023-08-31 14:00:00,FAIR-D2,2
67,2023-08-31 14:00:00,ID-2,82
68,2023-08-31 16:00:00,FAIR-D2,1
69,2023-08-31 16:00:00,ID-2,16
70,2023-08-31 18:00:00,ID-2,35
71,2023-09-01 08:00:00,FAIR-D2,1
72,2023-09-01 12:00:00,FAIR-D2,2
73,2023-09-01 14:00:00,FAIR-D2,2
74,2023-09-01 16:00:00,FAIR-D2,1
