,DateTime,Device_type,Class
0,2023-09-02 08:00:00,FAIR-D,2
1,2023-09-02 10:00:00,FAIR-D,10
2,2023-09-02 12:00:00,FAIR-D,8
3,2023-09-02 12:00:00,ID,8
4,2023-09-02 14:00:00,FAIR-D,5
5,2023-09-02 14:00:00,ID,2
6,2023-09-02 16:00:00,FAIR-D,2
7,2023-09-02 16:00:00,ID,20
8,2023-09-02 18:00:00,ID,44
9,2023-09-03 06:00:00,FAIR-D,1
10,2023-09-03 08:00:00,FAIR-D,1
11,2023-09-03 08:00:00,ID,8
12,2023-09-03 12:00:00,FAIR-D,9
13,2023-09-03 12:00:00,ID,60
14,2023-09-03 14:00:00,FAIR-D,5
15,2023-09-03 14:00:00,ID,40
16,2023-09-03 16:00:00,FAIR-D,2
17,2023-09-03 16:00:00,ID,4
18,2023-09-03 18:00:00,FAIR-D,3
19,2023-09-03 18:00:00,ID,14
20,2023-09-04 06:00:00,FAIR-D,2
21,2023-09-04 06:00:00,ID,2
22,2023-09-04 08:00:00,FAIR-D,2
23,2023-09-04 08:00:00,ID,4
24,2023-09-04 10:00:00,FAIR-D,3
25,2023-09-04 12:00:00,FAIR-D,2
26,2023-09-04 12:00:00,ID,6
27,2023-09-04 14:00:00,FAIR-D,2
28,2023-09-04 16:00:00,FAIR-D,4
29,2023-09-04 16:00:00,ID,8
30,2023-09-05 08:00:00,FAIR-D,1
31,2023-09-05 08:00:00,ID,2
32,2023-09-05 10:00:00,FAIR-D,2
33,2023-09-05 12:00:00,FAIR-D,3
34,2023-09-05 12:00:00,ID,6
35,2023-09-05 14:00:00,FAIR-D,2
36,2023-09-05 14:00:00,ID,2
37,2023-09-05 16:00:00,ID,18
38,2023-09-05 18:00:00,ID,10
39,2023-09-06 08:00:00,FAIR-D,2
40,2023-09-06 08:00:00,ID,6
41,2023-09-06 10:00:00,FAIR-D,5
42,2023-09-06 12:00:00,FAIR-D,3
43,2023-09-06 12:00:00,ID,2
44,2023-09-06 14:00:00,ID,4
45,2023-09-06 16:00:00,FAIR-D,1
46,2023-09-06 16:00:00,ID,4
47,2023-09-06 18:00:00,ID,22
48,2023-09-07 06:00:00,ID,18
49,2023-09-07 08:00:00,FAIR-D,2
50,2023-09-07 08:00:00,ID,6
51,2023-09-07 12:00:00,FAIR-D,3
52,2023-09-07 12:00:00,ID,8
53,2023-09-07 14:00:00,FAIR-D,1
54,2023-09-07 14:00:00,ID,2
55,2023-09-07 16:00:00,FAIR-D,2
56,2023-09-07 16:00:00,ID,114
57,2023-09-07 18:00:00,FAIR-D,1
58,2023-09-07 18:00:00,ID,26
59,2023-09-08 06:00:00,FAIR-D,1
60,2023-09-08 08:00:00,ID,6
61,2023-09-08 10:00:00,FAIR-D,2
62,2023-09-08 12:00:00,FAIR-D,1
63,2023-09-08 12:00:00,ID,30
64,2023-09-08 14:00:00,FAIR-D,1
65,2023-09-08 16:00:00,ID,4
66,2023-09-08 18:00:00,FAIR-D,1
67,2023-09-08 18:00:00,ID,12
68,2023-09-09 08:00:00,FAIR-D,1
69,2023-09-09 08:00:00,ID,4
70,2023-09-09 10:00:00,FAIR-D,3
71,2023-09-09 12:00:00,FAIR-D,2
72,2023-09-09 12:00:00,ID,8
73,2023-09-09 16:00:00,FAIR-D,2
74,2023-09-09 16:00:00,ID,2
75,2023-09-09 18:00:00,FAIR-D,1
76,2023-09-09 18:00:00,ID,6
77,2023-09-10 08:00:00,FAIR-D,2
78,2023-09-10 08:00:00,ID,2
79,2023-09-10 10:00:00,FAIR-D,3
80,2023-09-10 12:00:00,FAIR-D,4
81,2023-09-10 12:00:00,ID,4
82,2023-09-10 14:00:00,FAIR-D,3
83,2023-09-10 14:00:00,ID,8
84,2023-09-10 16:00:00,FAIR-D,3
85,2023-09-10 16:00:00,ID,16
86,2023-09-10 18:00:00,ID,26
87,2023-09-11 08:00:00,ID,2
88,2023-09-11 10:00:00,FAIR-D,3
89,2023-09-11 12:00:00,FAIR-D,1
90,2023-09-11 12:00:00,ID,2
91,2023-09-11 18:00:00,FAIR-D,2
92,2023-09-11 18:00:00,ID,16
93,2023-09-12 08:00:00,FAIR-D,3
94,2023-09-12 08:00:00,ID,6
95,2023-09-12 10:00:00,FAIR-D,2
96,2023-09-12 12:00:00,FAIR-D,3
97,2023-09-12 14:00:00,ID,2
98,2023-09-12 16:00:00,FAIR-D,1
99,2023-09-12 16:00:00,ID,2
100,2023-09-12 18:00:00,FAIR-D,2
101,2023-09-12 18:00:00,ID,130
102,2023-09-13 06:00:00,ID,8
103,2023-09-13 08:00:00,ID,30
104,2023-09-13 10:00:00,FAIR-D,3
105,2023-09-13 12:00:00,FAIR-D,1
106,2023-09-13 12:00:00,ID,14
107,2023-09-13 14:00:00,FAIR-D,4
108,2023-09-13 14:00:00,ID,8
109,2023-09-13 16:00:00,FAIR-D,2
110,2023-09-13 16:00:00,ID,46
111,2023-09-13 18:00:00,FAIR-D,1
112,2023-09-13 18:00:00,ID,4
