ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
2712,ID,ID-4,Site 4,Meadow,2023-09-02 13:14:59.150,2023-09-02 13:15:21.967,00:00:22.817000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 13:14:59.150
342,ID,ID-3,Site 3,Meadow,2023-09-02 13:14:59.150,2023-09-02 13:15:21.967,00:00:22.817000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 13:14:59.150
343,ID,ID-3,Site 3,Meadow,2023-09-02 13:15:26.246,2023-09-02 13:15:50.562,00:00:24.316000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 13:15:26.246
2713,ID,ID-4,Site 4,Meadow,2023-09-02 13:15:26.246,2023-09-02 13:15:50.562,00:00:24.316000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 13:15:26.246
4193,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 13:28:41.000,2023-09-02 13:37:22.000,00:08:41,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 13:28:41.000
4194,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 13:37:15.000,2023-09-02 13:37:24.000,00:00:09,parasitoid_wasp_small,Insecta,Hymenoptera,Apocrita,Chalcidoidea,Eulophidae,#N/C,#N/C,#N/C,2023-09-02 13:37:15.000
3833,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 13:42:36.000,2023-09-02 13:49:49.000,00:07:13,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-09-02 13:42:36.000
344,ID,ID-3,Site 3,Meadow,2023-09-02 14:07:51.429,2023-09-02 14:07:55.695,00:00:04.266000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 14:07:51.429
2714,ID,ID-4,Site 4,Meadow,2023-09-02 14:07:51.429,2023-09-02 14:07:55.695,00:00:04.266000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 14:07:51.429
4196,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 14:21:52.000,2023-09-02 14:22:01.000,00:00:09,fly,Insecta,Diptera,Brachycera,Oestroidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 14:21:52.000
4195,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 14:21:52.000,2023-09-02 14:22:01.000,00:00:09,gnat,Insecta,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 14:21:52.000
4197,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 14:27:41.000,2023-09-02 14:33:55.000,00:06:14,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 14:27:41.000
4198,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 14:35:11.000,2023-09-02 14:35:18.000,00:00:07,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 14:35:11.000
3834,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 15:53:29.000,2023-09-02 16:15:54.000,00:22:25,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-09-02 15:53:29.000
4199,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 16:04:39.000,2023-09-02 16:07:06.000,00:02:27,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,#N/C,#N/C,2023-09-02 16:04:39.000
