ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
1964,ID,ID-2,Site 2,Maize Field,2023-09-02 09:08:30.402,2023-09-02 09:08:34.714,00:00:04.312000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:08:30.402
1965,ID,ID-2,Site 2,Maize Field,2023-09-02 09:11:40.522,2023-09-02 09:12:19.276,00:00:38.754000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 09:11:40.522
1966,ID,ID-2,Site 2,Maize Field,2023-09-02 09:22:20.632,2023-09-02 09:22:30.627,00:00:09.995000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 09:22:20.632
1967,ID,ID-2,Site 2,Maize Field,2023-09-02 09:22:33.487,2023-09-02 09:22:39.158,00:00:05.671000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 09:22:33.487
1968,ID,ID-2,Site 2,Maize Field,2023-09-02 09:25:23.689,2023-09-02 09:25:39.816,00:00:16.127000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 09:25:23.689
1969,ID,ID-2,Site 2,Maize Field,2023-09-02 09:25:26.578,2023-09-02 09:25:39.844,00:00:13.266000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 09:25:26.578
1970,ID,ID-2,Site 2,Maize Field,2023-09-02 09:28:24.565,2023-09-02 09:28:56.004,00:00:31.439000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 09:28:24.565
1971,ID,ID-2,Site 2,Maize Field,2023-09-02 09:30:55.640,2023-09-02 09:31:17.128,00:00:21.488000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-09-02 09:30:55.640
3568,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-09-02 10:09:48.000,2023-09-02 10:10:35.000,00:00:47,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 10:09:48.000
3569,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-09-02 10:18:36.000,2023-09-02 10:18:42.000,00:00:06,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 10:18:36.000
