ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
1249,ID,ID-2,Site 2,Maize Field,2023-08-23 09:30:29.560,2023-08-23 09:30:41.162,00:00:11.602000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:30:29.560
1250,ID,ID-2,Site 2,Maize Field,2023-08-23 09:30:42.586,2023-08-23 09:30:48.376,00:00:05.790000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:30:42.586
1251,ID,ID-2,Site 2,Maize Field,2023-08-23 09:36:06.884,2023-08-23 09:36:18.295,00:00:11.411000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:36:06.884
1252,ID,ID-2,Site 2,Maize Field,2023-08-23 09:37:01.946,2023-08-23 09:37:20.495,00:00:18.549000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:37:01.946
1253,ID,ID-2,Site 2,Maize Field,2023-08-23 09:37:21.914,2023-08-23 09:40:25.088,00:03:03.174000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:37:21.914
1254,ID,ID-2,Site 2,Maize Field,2023-08-23 09:38:37.736,2023-08-23 09:38:45.014,00:00:07.278000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:38:37.736
3412,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-23 09:47:55.000,2023-08-23 09:48:26.000,00:00:31,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:47:55.000
3413,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-23 10:27:05.000,2023-08-23 10:27:13.000,00:00:08,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 10:27:05.000
3414,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-23 10:42:41.000,2023-08-23 10:42:53.000,00:00:12,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 10:42:41.000
3145,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 11:17:18.000,2023-08-23 11:17:27.000,00:00:09,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 11:17:18.000
779,ID,ID-1,Site 1,Maize Field,2023-08-23 12:08:16.657,2023-08-23 12:08:22.365,00:00:05.708000,beetle,Insecta,Coleoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 12:08:16.657
780,ID,ID-1,Site 1,Maize Field,2023-08-23 12:08:30.805,2023-08-23 12:08:54.991,00:00:24.186000,noth,Insecta,Lepidoptera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 12:08:30.805
1255,ID,ID-2,Site 2,Maize Field,2023-08-23 12:16:41.603,2023-08-23 12:16:51.570,00:00:09.967000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 12:16:41.603
3146,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 12:30:54.000,2023-08-23 12:31:05.000,00:00:11,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 12:30:54.000
1256,ID,ID-2,Site 2,Maize Field,2023-08-23 12:32:59.561,2023-08-23 12:33:15.272,00:00:15.711000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Sphaerophoria,#N/C,2023-08-23 12:32:59.561
3415,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-23 12:36:27.000,2023-08-23 12:37:11.000,00:00:44,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 12:36:27.000
1257,ID,ID-2,Site 2,Maize Field,2023-08-23 13:11:35.374,2023-08-23 13:11:55.324,00:00:19.950000,bee,Insecta,Hymenoptera,Apocrita,Apoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 13:11:35.374
781,ID,ID-1,Site 1,Maize Field,2023-08-23 14:02:22.289,2023-08-23 14:03:00.863,00:00:38.574000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-23 14:02:22.289
3147,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 14:05:01.000,2023-08-23 14:05:06.000,00:00:05,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,#N/C,2023-08-23 14:05:01.000
3148,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 14:35:38.000,2023-08-23 14:37:03.000,00:01:25,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 14:35:38.000
3416,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-23 15:45:47.000,2023-08-23 15:46:06.000,00:00:19,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 15:45:47.000
3149,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 15:55:57.000,2023-08-23 15:56:00.000,00:00:03,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 15:55:57.000
3150,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 15:59:41.000,2023-08-23 15:59:46.000,00:00:05,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 15:59:41.000
782,ID,ID-1,Site 1,Maize Field,2023-08-23 17:03:31.423,2023-08-23 17:03:35.765,00:00:04.342000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-23 17:03:31.423
1258,ID,ID-2,Site 2,Maize Field,2023-08-23 17:27:47.740,2023-08-23 17:28:45.100,00:00:57.360000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-23 17:27:47.740
1259,ID,ID-2,Site 2,Maize Field,2023-08-23 17:32:58.853,2023-08-23 17:33:18.904,00:00:20.051000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Sphaerophoria,#N/C,2023-08-23 17:32:58.853
1260,ID,ID-2,Site 2,Maize Field,2023-08-23 17:33:24.591,2023-08-23 17:33:34.587,00:00:09.996000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Sphaerophoria,#N/C,2023-08-23 17:33:24.591
3151,FAIR-D,FAIR-D1,Site 1,Maize Field,2023-08-23 17:58:40.000,2023-08-23 17:59:25.000,00:00:45,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 17:58:40.000
783,ID,ID-1,Site 1,Maize Field,2023-08-23 18:30:37.664,2023-08-23 18:30:51.890,00:00:14.226000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 18:30:37.664
784,ID,ID-1,Site 1,Maize Field,2023-08-23 18:31:08.683,2023-08-23 18:31:24.244,00:00:15.561000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 18:31:08.683
785,ID,ID-1,Site 1,Maize Field,2023-08-23 18:34:21.043,2023-08-23 18:34:29.586,00:00:08.543000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 18:34:21.043
1261,ID,ID-2,Site 2,Maize Field,2023-08-24 07:09:07.096,2023-08-24 07:09:37.077,00:00:29.981000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 07:09:07.096
1262,ID,ID-2,Site 2,Maize Field,2023-08-24 07:11:39.435,2023-08-24 07:11:49.440,00:00:10.005000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 07:11:39.435
