DateTime,FAIR-D,ID
2023-09-02 06:00:00,0.0,0.0
2023-09-02 08:00:00,1.0,15.0
2023-09-02 10:00:00,4.0,0.0
2023-09-02 12:00:00,6.0,27.0
2023-09-02 14:00:00,7.0,29.0
2023-09-02 16:00:00,2.0,9.0
2023-09-02 18:00:00,1.0,7.0
2023-09-03 06:00:00,1.0,0.0
2023-09-03 08:00:00,1.0,9.0
2023-09-03 10:00:00,2.0,0.0
2023-09-03 12:00:00,0.0,80.0
2023-09-03 14:00:00,2.0,46.0
2023-09-03 16:00:00,2.0,9.0
2023-09-03 18:00:00,0.0,4.0
2023-09-04 06:00:00,0.0,0.0
2023-09-04 08:00:00,0.0,4.0
2023-09-04 10:00:00,0.0,0.0
2023-09-04 12:00:00,2.0,20.0
2023-09-04 14:00:00,1.0,2.0
2023-09-04 16:00:00,2.0,3.0
2023-09-04 18:00:00,0.0,7.0
2023-09-05 06:00:00,0.0,0.0
2023-09-05 08:00:00,1.0,14.0
2023-09-05 10:00:00,0.0,0.0
2023-09-05 12:00:00,0.0,27.0
2023-09-05 14:00:00,1.0,2.0
2023-09-05 16:00:00,0.0,6.0
2023-09-05 18:00:00,0.0,12.0
2023-09-06 06:00:00,0.0,0.0
2023-09-06 08:00:00,0.0,0.0
2023-09-06 10:00:00,0.0,0.0
2023-09-06 12:00:00,0.0,6.0
2023-09-06 14:00:00,1.0,1.0
2023-09-06 16:00:00,1.0,5.0
2023-09-06 18:00:00,2.0,4.0
2023-09-07 06:00:00,0.0,0.0
2023-09-07 08:00:00,0.0,4.0
2023-09-07 10:00:00,0.0,0.0
2023-09-07 12:00:00,0.0,9.0
2023-09-07 14:00:00,0.0,2.0
2023-09-07 16:00:00,0.0,2.0
2023-09-07 18:00:00,0.0,8.0
2023-09-08 06:00:00,0.0,0.0
2023-09-08 08:00:00,1.0,3.0
2023-09-08 10:00:00,0.0,0.0
2023-09-08 12:00:00,0.0,2.0
2023-09-08 14:00:00,0.0,1.0
2023-09-08 16:00:00,0.0,15.0
2023-09-08 18:00:00,0.0,7.0
2023-09-09 06:00:00,0.0,1.0
2023-09-09 08:00:00,0.0,1.0
2023-09-09 10:00:00,2.0,0.0
2023-09-09 12:00:00,0.0,2.0
2023-09-09 14:00:00,0.0,0.0
2023-09-09 16:00:00,0.0,1.0
2023-09-09 18:00:00,0.0,29.0
2023-09-10 06:00:00,0.0,0.0
2023-09-10 08:00:00,0.0,0.0
2023-09-10 10:00:00,3.0,0.0
2023-09-10 12:00:00,0.0,2.0
2023-09-10 14:00:00,0.0,2.0
2023-09-10 16:00:00,5.0,6.0
2023-09-10 18:00:00,0.0,20.0
2023-09-11 06:00:00,0.0,0.0
2023-09-11 08:00:00,4.0,3.0
2023-09-11 10:00:00,2.0,0.0
2023-09-11 12:00:00,0.0,0.0
2023-09-11 14:00:00,0.0,0.0
2023-09-11 16:00:00,0.0,19.0
2023-09-11 18:00:00,0.0,14.0
2023-09-12 06:00:00,1.0,0.0
2023-09-12 08:00:00,2.0,1.0
2023-09-12 10:00:00,0.0,0.0
2023-09-12 12:00:00,1.0,3.0
2023-09-12 14:00:00,0.0,3.0
2023-09-12 16:00:00,0.0,0.0
2023-09-12 18:00:00,0.0,22.0
2023-09-13 06:00:00,1.0,0.0
2023-09-13 08:00:00,0.0,24.0
2023-09-13 10:00:00,0.0,0.0
2023-09-13 12:00:00,0.0,35.0
2023-09-13 14:00:00,0.0,29.0
2023-09-13 16:00:00,0.0,2.0
2023-09-13 18:00:00,0.0,2.0
