,DateTime,Device_type,Class
0,2023-09-02 08:00:00,FAIR-D,1
1,2023-09-02 08:00:00,ID,15
2,2023-09-02 10:00:00,FAIR-D,4
3,2023-09-02 12:00:00,FAIR-D,6
4,2023-09-02 12:00:00,ID,27
5,2023-09-02 14:00:00,FAIR-D,7
6,2023-09-02 14:00:00,ID,29
7,2023-09-02 16:00:00,FAIR-D,2
8,2023-09-02 16:00:00,ID,9
9,2023-09-02 18:00:00,FAIR-D,1
10,2023-09-02 18:00:00,ID,7
11,2023-09-03 06:00:00,FAIR-D,1
12,2023-09-03 08:00:00,FAIR-D,1
13,2023-09-03 08:00:00,ID,9
14,2023-09-03 10:00:00,FAIR-D,2
15,2023-09-03 12:00:00,ID,80
16,2023-09-03 14:00:00,FAIR-D,2
17,2023-09-03 14:00:00,ID,46
18,2023-09-03 16:00:00,FAIR-D,2
19,2023-09-03 16:00:00,ID,9
20,2023-09-03 18:00:00,ID,4
21,2023-09-04 08:00:00,ID,4
22,2023-09-04 12:00:00,FAIR-D,2
23,2023-09-04 12:00:00,ID,20
24,2023-09-04 14:00:00,FAIR-D,1
25,2023-09-04 14:00:00,ID,2
26,2023-09-04 16:00:00,FAIR-D,2
27,2023-09-04 16:00:00,ID,3
28,2023-09-04 18:00:00,ID,7
29,2023-09-05 08:00:00,FAIR-D,1
30,2023-09-05 08:00:00,ID,14
31,2023-09-05 12:00:00,ID,27
32,2023-09-05 14:00:00,FAIR-D,1
33,2023-09-05 14:00:00,ID,2
34,2023-09-05 16:00:00,ID,6
35,2023-09-05 18:00:00,ID,12
36,2023-09-06 12:00:00,ID,6
37,2023-09-06 14:00:00,FAIR-D,1
38,2023-09-06 14:00:00,ID,1
39,2023-09-06 16:00:00,FAIR-D,1
40,2023-09-06 16:00:00,ID,5
41,2023-09-06 18:00:00,FAIR-D,2
42,2023-09-06 18:00:00,ID,4
43,2023-09-07 08:00:00,ID,4
44,2023-09-07 12:00:00,ID,9
45,2023-09-07 14:00:00,ID,2
46,2023-09-07 16:00:00,ID,2
47,2023-09-07 18:00:00,ID,8
48,2023-09-08 08:00:00,FAIR-D,1
49,2023-09-08 08:00:00,ID,3
50,2023-09-08 12:00:00,ID,2
51,2023-09-08 14:00:00,ID,1
52,2023-09-08 16:00:00,ID,15
53,2023-09-08 18:00:00,ID,7
54,2023-09-09 06:00:00,ID,1
55,2023-09-09 08:00:00,ID,1
56,2023-09-09 10:00:00,FAIR-D,2
57,2023-09-09 12:00:00,ID,2
58,2023-09-09 16:00:00,ID,1
59,2023-09-09 18:00:00,ID,29
60,2023-09-10 10:00:00,FAIR-D,3
61,2023-09-10 12:00:00,ID,2
62,2023-09-10 14:00:00,ID,2
63,2023-09-10 16:00:00,FAIR-D,5
64,2023-09-10 16:00:00,ID,6
65,2023-09-10 18:00:00,ID,20
66,2023-09-11 08:00:00,FAIR-D,4
67,2023-09-11 08:00:00,ID,3
68,2023-09-11 10:00:00,FAIR-D,2
69,2023-09-11 16:00:00,ID,19
70,2023-09-11 18:00:00,ID,14
71,2023-09-12 06:00:00,FAIR-D,1
72,2023-09-12 08:00:00,FAIR-D,2
73,2023-09-12 08:00:00,ID,1
74,2023-09-12 12:00:00,FAIR-D,1
75,2023-09-12 12:00:00,ID,3
76,2023-09-12 14:00:00,ID,3
77,2023-09-12 18:00:00,ID,22
78,2023-09-13 06:00:00,FAIR-D,1
79,2023-09-13 08:00:00,ID,24
80,2023-09-13 12:00:00,ID,35
81,2023-09-13 14:00:00,ID,29
82,2023-09-13 16:00:00,ID,2
83,2023-09-13 18:00:00,ID,2
