,DateTime,Ambient,Class
0,2023-09-02 08:00:00,Maize Field,16
1,2023-09-02 08:00:00,Meadow,2
2,2023-09-02 10:00:00,Maize Field,4
3,2023-09-02 10:00:00,Meadow,10
4,2023-09-02 12:00:00,Maize Field,33
5,2023-09-02 12:00:00,Meadow,16
6,2023-09-02 14:00:00,Maize Field,36
7,2023-09-02 14:00:00,Meadow,7
8,2023-09-02 16:00:00,Maize Field,11
9,2023-09-02 16:00:00,Meadow,22
10,2023-09-02 18:00:00,Maize Field,8
11,2023-09-02 18:00:00,Meadow,44
12,2023-09-03 06:00:00,Maize Field,1
13,2023-09-03 06:00:00,Meadow,1
14,2023-09-03 08:00:00,Maize Field,10
15,2023-09-03 08:00:00,Meadow,9
16,2023-09-03 10:00:00,Maize Field,2
17,2023-09-03 12:00:00,Maize Field,80
18,2023-09-03 12:00:00,Meadow,69
19,2023-09-03 14:00:00,Maize Field,48
20,2023-09-03 14:00:00,Meadow,45
21,2023-09-03 16:00:00,Maize Field,11
22,2023-09-03 16:00:00,Meadow,6
23,2023-09-03 18:00:00,Maize Field,4
24,2023-09-03 18:00:00,Meadow,17
25,2023-09-04 06:00:00,Meadow,4
26,2023-09-04 08:00:00,Maize Field,4
27,2023-09-04 08:00:00,Meadow,6
28,2023-09-04 10:00:00,Meadow,3
29,2023-09-04 12:00:00,Maize Field,22
30,2023-09-04 12:00:00,Meadow,8
31,2023-09-04 14:00:00,Maize Field,3
32,2023-09-04 14:00:00,Meadow,2
33,2023-09-04 16:00:00,Maize Field,5
34,2023-09-04 16:00:00,Meadow,12
35,2023-09-04 18:00:00,Maize Field,7
36,2023-09-05 08:00:00,Maize Field,15
37,2023-09-05 08:00:00,Meadow,3
38,2023-09-05 10:00:00,Meadow,2
39,2023-09-05 12:00:00,Maize Field,27
40,2023-09-05 12:00:00,Meadow,9
41,2023-09-05 14:00:00,Maize Field,3
42,2023-09-05 14:00:00,Meadow,4
43,2023-09-05 16:00:00,Maize Field,6
44,2023-09-05 16:00:00,Meadow,18
45,2023-09-05 18:00:00,Maize Field,12
46,2023-09-05 18:00:00,Meadow,10
47,2023-09-06 08:00:00,Meadow,8
48,2023-09-06 10:00:00,Meadow,5
49,2023-09-06 12:00:00,Maize Field,6
50,2023-09-06 12:00:00,Meadow,5
51,2023-09-06 14:00:00,Maize Field,2
52,2023-09-06 14:00:00,Meadow,4
53,2023-09-06 16:00:00,Maize Field,6
54,2023-09-06 16:00:00,Meadow,5
55,2023-09-06 18:00:00,Maize Field,6
56,2023-09-06 18:00:00,Meadow,22
57,2023-09-07 06:00:00,Meadow,18
58,2023-09-07 08:00:00,Maize Field,4
59,2023-09-07 08:00:00,Meadow,8
60,2023-09-07 12:00:00,Maize Field,9
61,2023-09-07 12:00:00,Meadow,11
62,2023-09-07 14:00:00,Maize Field,2
63,2023-09-07 14:00:00,Meadow,3
64,2023-09-07 16:00:00,Maize Field,2
65,2023-09-07 16:00:00,Meadow,116
66,2023-09-07 18:00:00,Maize Field,8
67,2023-09-07 18:00:00,Meadow,27
68,2023-09-08 06:00:00,Meadow,1
69,2023-09-08 08:00:00,Maize Field,4
70,2023-09-08 08:00:00,Meadow,6
71,2023-09-08 10:00:00,Meadow,2
72,2023-09-08 12:00:00,Maize Field,2
73,2023-09-08 12:00:00,Meadow,31
74,2023-09-08 14:00:00,Maize Field,1
75,2023-09-08 14:00:00,Meadow,1
76,2023-09-08 16:00:00,Maize Field,15
77,2023-09-08 16:00:00,Meadow,4
78,2023-09-08 18:00:00,Maize Field,7
79,2023-09-08 18:00:00,Meadow,13
80,2023-09-09 06:00:00,Maize Field,1
81,2023-09-09 08:00:00,Maize Field,1
82,2023-09-09 08:00:00,Meadow,5
83,2023-09-09 10:00:00,Maize Field,2
84,2023-09-09 10:00:00,Meadow,3
85,2023-09-09 12:00:00,Maize Field,2
86,2023-09-09 12:00:00,Meadow,10
87,2023-09-09 16:00:00,Maize Field,1
88,2023-09-09 16:00:00,Meadow,4
89,2023-09-09 18:00:00,Maize Field,29
90,2023-09-09 18:00:00,Meadow,7
91,2023-09-10 08:00:00,Meadow,4
92,2023-09-10 10:00:00,Maize Field,3
93,2023-09-10 10:00:00,Meadow,3
94,2023-09-10 12:00:00,Maize Field,2
95,2023-09-10 12:00:00,Meadow,8
