,DateTime,Ambient,Class
96,2023-09-10 14:00:00,Maize Field,2
97,2023-09-10 14:00:00,Meadow,11
98,2023-09-10 16:00:00,Maize Field,11
99,2023-09-10 16:00:00,Meadow,19
100,2023-09-10 18:00:00,Maize Field,20
101,2023-09-10 18:00:00,Meadow,26
102,2023-09-11 08:00:00,Maize Field,7
103,2023-09-11 08:00:00,Meadow,2
104,2023-09-11 10:00:00,Maize Field,2
105,2023-09-11 10:00:00,Meadow,3
106,2023-09-11 12:00:00,Meadow,3
107,2023-09-11 16:00:00,Maize Field,19
108,2023-09-11 18:00:00,Maize Field,14
109,2023-09-11 18:00:00,Meadow,18
110,2023-09-12 06:00:00,Maize Field,1
111,2023-09-12 08:00:00,Maize Field,3
112,2023-09-12 08:00:00,Meadow,9
113,2023-09-12 10:00:00,Meadow,2
114,2023-09-12 12:00:00,Maize Field,4
115,2023-09-12 12:00:00,Meadow,3
116,2023-09-12 14:00:00,Maize Field,3
117,2023-09-12 14:00:00,Meadow,2
118,2023-09-12 16:00:00,Meadow,3
119,2023-09-12 18:00:00,Maize Field,22
120,2023-09-12 18:00:00,Meadow,132
121,2023-09-13 06:00:00,Maize Field,1
122,2023-09-13 06:00:00,Meadow,8
123,2023-09-13 08:00:00,Maize Field,24
124,2023-09-13 08:00:00,Meadow,30
125,2023-09-13 10:00:00,Meadow,3
126,2023-09-13 12:00:00,Maize Field,35
127,2023-09-13 12:00:00,Meadow,15
128,2023-09-13 14:00:00,Maize Field,29
129,2023-09-13 14:00:00,Meadow,12
130,2023-09-13 16:00:00,Maize Field,2
131,2023-09-13 16:00:00,Meadow,48
132,2023-09-13 18:00:00,Maize Field,2
133,2023-09-13 18:00:00,Meadow,5
